order_id,user_id,order_number,product_id
2195678,187247,3,22969
2061842,18224,6,9387
3035301,70922,40,18370
2906688,100634,8,44142
1610629,38843,1,44949
3356426,33544,1,21927
2713727,44328,17,45007
776987,83375,18,8169
1197035,26693,49,30910
1360462,98895,26,13829
3161243,132544,5,44142
1681004,69003,1,1461
429878,132279,71,42958
301608,49626,12,3957
3078565,69160,9,47209
43263,61153,11,23909
2499141,160880,10,39991
38647,113494,55,45007
2094273,84631,11,39430
2360440,83878,18,21390
924992,131168,64,28985
1883697,21679,12,4605
3007429,181627,1,4945
1797003,136227,11,29034
758299,37846,13,29926
2628392,177343,15,43394
3028058,44479,1,48616
1877531,162277,10,19508
1019289,196876,6,8571
2492374,133708,23,17389
3154025,49336,54,9825
1419910,112802,9,21903
1447967,41812,6,18135
359937,1169,7,3142
2985238,27219,42,3464
1980153,162181,20,6948
1632236,46549,7,38827
1331915,161518,2,12779
2236955,103188,7,37297
2481311,142673,50,13807
1264444,163473,7,18159
218636,107660,18,30461
691966,6218,3,45104
1707257,133096,3,10603
2961643,138432,22,41561
1276743,88506,29,25824
86336,22180,41,41400
775121,126539,1,17616
1385995,154795,1,21053
3116339,95967,69,6475
1083820,15559,7,24852
793438,21840,11,24852
2948947,79695,34,11197
2243217,158422,8,38139
3119251,171627,81,49026
2445474,182757,29,28476
672911,49189,12,47852
2461401,170771,75,21616
2776397,33059,3,41950
2125240,31606,27,24024
938131,193261,10,22141
2406103,146597,7,40731
588080,56315,2,23579
2760606,124750,7,12456
405939,162397,47,26165
857003,107253,35,13829
2765088,76123,7,38190
1194621,161231,1,3397
1912893,164907,19,37220
1078106,113021,50,47630
3014746,160667,4,49567
2937649,33283,9,32134
2419467,80926,3,3362
2222009,80128,16,46842
3326746,111650,40,9020
2901026,80006,33,30720
663500,170205,9,26128
3283500,38015,17,48679
183898,174333,57,3298
2426491,125955,33,27104
1416992,62775,9,39279
3344727,21691,5,7443
1611492,59123,30,39928
1457142,132632,11,14678
3240,47642,12,1700
2278243,130339,7,8021
2410642,24037,33,15081
579856,78643,8,33000
2771475,197334,4,23622
2156914,22802,11,196
373761,20112,11,267
2099771,72709,41,24561
516994,146794,3,5194
1012562,138143,18,27629
47529,121462,12,48588
106569,35590,20,26768
1869413,139254,1,26709
3029781,41026,54,5212
433184,104559,6,28934
2144565,83326,38,27845
2110102,134984,29,29447
73754,132295,33,36082
139393,10595,44,26209
1496161,169376,20,43961
710706,6098,2,21137
3288350,131174,9,27104
2179442,102310,5,5015
18295,63356,6,49279
1593711,3314,5,8277
417361,173353,22,22556
2661201,176651,3,10673
313162,204271,2,45200
1977641,162007,1,38928
3192329,145558,4,43961
2442754,126126,10,2086
1809596,103496,3,17829
2757797,178660,11,44375
2437061,176931,3,34217
2599236,194144,14,13176
506723,133194,1,27156
211896,8552,13,2707
2648323,39394,6,25087
847097,162851,17,23165
1676728,75161,21,41960
257831,21714,12,3376
923335,148704,7,3020
971301,188663,2,6184
2972366,57727,3,45656
1054926,86584,35,27104
2995280,36988,7,4726
1753069,44749,61,22372
3231629,13059,5,44620
2129742,18883,9,10724
1096377,107253,5,6873
2093975,142846,39,47029
904057,88494,17,19296
1557937,200541,12,32448
207860,128180,2,40332
701538,79135,8,49683
1859227,46622,30,44943
1393839,37154,4,2360
1568364,190861,4,49075
3364946,201498,39,24841
1910152,25193,41,19057
2711646,108247,6,32665
2797852,59137,30,42265
1313300,105931,3,49175
3379974,103611,9,31305
247489,124362,33,20995
153436,90565,7,1110
2602478,132872,5,16241
2079019,167470,13,46667
1391847,47466,7,34955
3242367,147597,15,14992
2138520,128076,5,7559
1572508,146866,10,32293
1237153,101277,8,49235
2311419,56519,2,30776
1532597,13708,5,39275
475894,175317,8,28601
1909423,176583,30,47591
3245860,61204,7,34969
259005,197408,5,24852
2295863,172866,3,4006
1475847,89018,18,6567
1621751,155456,8,31766
1343350,112133,5,8277
2611597,156979,13,43262
1874162,190918,7,6348
1526710,40432,1,43122
53432,135727,1,9387
1686748,129763,5,19006
2352616,110293,14,29717
2652905,92357,1,21376
2706289,129615,10,1751
1411273,101737,11,5109
226655,85826,26,9401
1903869,27224,1,1406
2579403,124496,9,5785
1488969,139326,51,7781
966987,137436,3,12341
1570540,97726,8,43310
2302116,149455,4,11941
3209873,55502,22,22825
586858,91472,5,37646
2092912,100089,13,42139
2765841,203115,11,31759
3316972,141126,12,39984
278650,128790,50,12864
93127,109393,25,27690
2806810,18547,5,47087
2945522,111113,1,23734
266849,106009,11,24852
1200051,128627,50,34061
592424,70218,8,41065
36088,178716,3,13176
566268,49240,43,42443
2030636,99272,44,30252
